 Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
115	Kathrin Hendrich	de GER	DF	Chicago Stars	34-005	1992	2	1	114	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
116	Nicolette Hernández	mx MEX	DF	Boston Legacy	27-053	1999	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
117	Oihane Hernández	es ESP	DF	Orlando Pride	25-342	2000	5	5	421	4.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
118	Hal Hershfelt	us USA	MF	Washington Spirit	24-190	2001	5	5	450	5.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
119	Samantha Hiatt	us USA	DF	Portland Thorns	28-095	1998	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
120	Rachel Hill	us USA	FW,MF	Racing Louisville	30-359	1995	2	0	34	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
121	Penelope Hocking	us USA	MF	Current	26-103	1999	4	1	124	1.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
122	Macey Hodge	us USA	MF	Racing Louisville	24-342	2001	4	2	213	2.4	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
123	Haley Hopkins	us USA	MF	Current	27-111	1998	5	1	251	2.8	1	0	1	1	0	0	0	0	0.36	0.00	0.36	0.36	0.36	Matches
124	Jaelin Howell	us USA	MF	Gotham FC	26-141	1999	5	5	450	5.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
125	Kelli Hubly	us USA	DF	Bay FC	31-245	1994	1	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
126	Sofia Huerta	us USA	DF	Reign	33-118	1992	5	5	450	5.0	0	2	2	0	0	0	0	0	0.00	0.40	0.40	0.00	0.40	Matches
127	Taylor Huff	us USA	MF	Bay FC	23-238	2002	3	3	269	3.0	1	0	1	1	0	0	2	1	0.33	0.00	0.33	0.33	0.33	Matches
128	Jordyn Huitema	ca CAN	FW	Chicago Stars	24-338	2001	2	2	150	1.7	1	0	1	1	0	0	0	0	0.60	0.00	0.60	0.60	0.60	Matches
129	Claire Hutton	us USA	MF	Bay FC	20-090	2006	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
130	Evelyn Ijeh	se SWE	FW	NC Courage	24-242	2001	3	1	98	1.1	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
131	Riley Jackson	us USA	MF	NC Courage	20-130	2005	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
132	Simone Jackson	us USA	FW	Orlando Pride	23-073	2003	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
133	Natalie Jacobs	us USA	DF	NC Courage	28-238	1997	2	2	173	1.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
134	Angharad James	wls WAL	MF	Reign	31-314	1994	5	2	181	2.0	1	0	1	1	0	0	0	0	0.50	0.00	0.50	0.50	0.50	Matches
135	Sveindís Jane Jónsdóttir	is ISL	FW	Angel City FC	24-310	2001	4	4	354	3.9	3	2	5	3	0	0	2	0	0.76	0.51	1.27	0.76	1.27	Matches
136	Ellie Jean	us USA	DF	Racing Louisville	29-070	1997	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
137	Micayla Johnson	us USA	FW	Chicago Stars	18-083	2008	4	0	22	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
138	Jameese Joseph	us USA	MF	Chicago Stars	23-343	2002	5	4	348	3.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
139	Mia Justus	us USA	GK	Royals	23-220	2002	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
140	Avery Kalitta		MF	Racing Louisville			2	0	15	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
141	Annie Karich	us USA	MF,DF	Boston Legacy	22-167	2003	4	4	360	4.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
142	Savannah King	us USA	DF	Angel City FC	21-063	2005	4	3	288	3.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
143	Andrea Kitahata	us USA	MF	Gotham FC	23-100	2003	2	1	75	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
